11/02/2012,40.00%,,,,,,,,,,,
11/06/2012,35.00%,,,,,,,,,,,
11/07/2012,45.00%,,,,,,,,,,,
11/12/2012,40.00%,,,,,,,,,,,
11/15/2012,35.00%,,,,,,,,,,,
11/16/2012,45.00%,,,,,,,,,,,
11/20/2012,45.00%,,,,,,,,,,,
11/26/2012,45.00%,,,,,,,,,,,
11/28/2012,45.00%,,,,,,,,,,,
11/30/2012,45.00%,,,,,,,,,,,
12/05/2012,50.00%,,,,,,,,,,,
12/06/2012,50.00%,,,,,,,,,,,
12/10/2012,45.00%,,,,,,,,,,,
12/12/2012,45.00%,,,,,,,,,,,
12/14/2012,50.00%,,,,,,,,,,,
12/18/2012,50.00%,,,,,,,,,,,
12/21/2012,45.00%,,,,,,,,,,,
01/02/2013,30.00%,,,,,,,,,,,
01/04/2013,35.00%,,,,,,,,,,,
01/07/2013,30.00%,,,,,,,,,,,
01/10/2013,35.00%,,,,,,,,,,,
01/11/2013,45.00%,,,,,,,,,,,
01/14/2013,40.00%,,,,,,,,,,,
01/16/2013,40.00%,,,,,,,,,,,
01/18/2013,35.00%,,,,,,,,,,,
01/21/2013,40.00%,,,,,,,,,,,
01/22/2013,45.00%,,,,,,,,,,,
01/23/2013,50.00%,,,,,,,,,,,
01/24/2013,50.00%,,,,,,,,,,,
01/25/2013,45.00%,,,,,,,,,,,
01/28/2013,55.00%,,,,,,,,,,,
01/29/2013,55.00%,,,,,,,,,,,
01/30/2013,50.00%,,,,,,,,,,,
01/31/2013,60.00%,,,,,,,,,,,
02/01/2013,55.00%,,,,,,,,,,,
02/04/2013,60.00%,,,,,,,,,,,
02/06/2013,65.00%,,,,,,,,,,,
02/08/2013,65.00%,,,,,,,,,,,
02/13/2013,60.00%,,,,,,,,,,,
02/14/2013,65.00%,,,,,,,,,,,
02/19/2013,70.00%,,,,,,,,,,,
02/21/2013,65.00%,,,,,,,,,,,
02/22/2013,70.00%,,,,,,,,,,,
02/25/2013,60.00%,,,,,,,,,,,
02/28/2013,65.00%,,,,,,,,,,,
03/01/2013,70.00%,,,,,,,,,,,
03/05/2013,60.00%,,,,,,,,,,,
03/07/2013,50.00%,,,,,,,,,,,
03/08/2013,55.00%,,,,,,,,,,,
03/12/2013,60.00%,,,,,,,,,,,
03/13/2013,65.00%,,,,,,,,,,,
03/15/2013,65.00%,,,,,,,,,,,
03/18/2013,60.00%,,,,,,,,,,,
03/20/2013,60.00%,,,,,,,,,,,
03/22/2013,70.00%,,,,,,,,,,,
03/26/2013,65.00%,,,,,,,,,,,
03/27/2013,60.00%,,,,,,,,,,,
03/29/2013,60.00%,,,,,,,,,,,
04/02/2013,70.00%,,,,,,,,,,,
04/04/2013,70.00%,,,,,,,,,,,
04/08/2013,75.00%,,,,,,,,,,,
04/10/2013,65.00%,,,,,,,,,,,
04/15/2013,65.00%,,,,,,,,,,,
04/18/2013,70.00%,,,,,,,,,,,
04/22/2013,75.00%,,,,,,,,,,,
04/24/2013,70.00%,,,,,,,,,,,
04/25/2013,65.00%,,,,,,,,,,,
04/29/2013,70.00%,,,,,,,,,,,
05/01/2013,70.00%,,,,,,,,,,,
